first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,id
Dwight,McNeil,0,0,1,79,2,38.6,12.8,11,0,18,6.2,0,0,1,0,44,534
Kadeem,Harris,1,1,16,223,4,52.7,55.2,46,0,57,15.3,0,0,1,0,45,535
Paulo,Gazzaniga,0,0,10,180,1,0,55.6,0,0,48,5.5,1,0,0,0,45,536
Brian,Murphy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,537
Alfie,Whiteman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,538
Grady,Diangana,0,1,13,323,8,107.2,72.4,87,0,47,26.7,1,0,0,0.3,45,539
Oliver,Skipp,0,0,1,3,1,0.3,0.2,0,0,3,0.1,0,0,0,0,45,540
Zeze Steven,Sessegnon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,541
Emiliano,Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,40,542
Divock,Origi,1,1,11,71,1,23.3,50,42,1,40,11.5,0,0,0,0,50,543
Ben,Wilmot,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0.1,40,544
Emile,Smith-Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,545
Zech,Medley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,546
Joe,Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,547
Conor,Coventry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,548
Juan,Foyth,1,0,19,450,8,3,141,40,3,79,18.5,1,0,1,0.8,50,549
Michael,Obafemi,0,1,7,90,3,27.1,21.6,85,0,21,13.3,0,0,1,0,50,550
Viktor,Gyokeres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,551
Edward,Nketiah,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,50,552
Frederick,Woodman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,553
Adalberto,Peñaranda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,554
Ryan John,Giles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,555
Yan,Valery,0,0,1,90,2,2.3,13.8,2,0,8,1.8,0,0,0,0,40,556
Rafael,Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,557
Josh,Knight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,558
