name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Sokratis_Papastathopoulos_12,0,57,0,0,0,15,0,12,51,0.3,1,0,12,0,0,323,1,1,0,6.2,18043,43.2,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,90,0,0,8,0,0,0,0,2,0,33,0,80431,0,1,0,0,1,18,1,7310,8040,730,51,FALSE,0,1,Lichtsteiner,0,0,11,769,16,45.6,96.4,19,0,68,16.3,0,0,2,0.8,45,Stephan,Lichtsteiner,11
Mesut_�zil_13,0,45,0,0,0,7,0,1,39,5,0,0,13,0,0,323,0,1,0,1.3,18044,3.6,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,73,0,0,8,0,0,0,0,2,0,33,0,176752,3,0,0,0,1,4,2,21698,23508,1810,79,FALSE,0,0,Papastathopoulos,0,2,55,1928,26,64.3,432.4,83,3,359,58.2,5,0,10,1.2,51,Sokratis,Papastathopoulos,12
Aaron_Ramsey_14,0,36,0,0,0,10,0,1,28,16.9,2,0,14,0,0,323,0,0,0,5.7,18045,12.8,1,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,45,0,0,8,0,0,0,0,3,0,33,0,75797,1,2,2,0,1,27,1,14299,16330,2031,71,FALSE,0,0,Özil,4,3,78,1417,17,563.5,346.8,192,9,312,110.4,5,0,1,2.7,79,Mesut,Özil,13
Alex_Iwobi_15,0,7,0,0,0,8,0,0,6,4.7,2,0,15,0,0,323,0,0,0,1.6,18046,7,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,16,0,1,8,0,0,0,0,1,0,33,0,104738,0,1,0,0,1,4,1,5122,7836,2714,54,FALSE,0,0,Ramsey,4,6,88,1252,13,355.3,404.4,463,4,284,122.5,8,0,0,1.2,71,Aaron,Ramsey,14
Mohamed_Elneny_16,0,32,0,0,0,8,0,2,26,13.8,0,0,16,0,0,323,0,1,0,1.9,18047,5.2,1,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,45,0,0,8,0,0,0,0,2,0,33,0,145597,1,0,0,0,1,0,1,-602,992,1594,42,FALSE,0,0,Iwobi,3,6,81,1608,26,411.1,363,459,1,311,123.3,3,0,0,1.6,54,Alex,Iwobi,15
Granit_Xhaka_17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,323,0,0,0,0,18048,0,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,0,0,0,8,0,0,0,0,0,0,33,0,144168,0,0,0,0,1,0,0,-3077,1018,4095,52,FALSE,0,0,Elneny,0,0,6,220,2,32.3,48.4,51,0,25,13.2,0,0,0,2.3,42,Mohamed,Elneny,16
Henrikh_Mkhitaryan_18,0,49,0,0,0,7,0,1,38,20.6,3,0,18,0,0,323,2,1,0,2.7,18049,5.8,1,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,90,0,0,8,0,0,0,0,11,0,33,0,335647,5,0,1,0,1,1,2,2431,14720,12289,68,FALSE,0,0,Xhaka,4,2,80,2152,30,534,554.8,173,8,398,126.4,6,0,8,2.3,52,Granit,Xhaka,17
Reiss_Nelson_19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,323,0,0,0,0,18050,0,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,0,0,0,8,0,0,0,0,0,0,33,0,24286,0,0,0,0,1,0,0,-29,4,33,44,FALSE,0,0,Mkhitaryan,6,4,88,1252,20,367.1,392.2,441,12,306,120.1,2,0,1,5.2,68,Henrikh,Mkhitaryan,18
Ainsley_Maitland-Niles_20,0,35,0,0,0,8,0,5,26,2,1,0,20,0,1,323,1,1,0,3.3,18051,11.4,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,90,0,0,8,0,0,0,0,6,0,33,0,27566,3,0,0,0,1,20,2,2037,2609,572,44,FALSE,0,0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,44,Reiss,Nelson,19
Danny_Welbeck_21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,323,0,0,0,0,18052,0,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,0,0,0,8,0,0,0,0,0,0,33,0,28196,0,0,0,0,1,0,0,-13,72,85,64,FALSE,0,0,Maitland-Niles,1,1,32,791,12,89.1,189.8,116,3,128,39.4,2,0,1,0.4,44,Ainsley,Maitland-Niles,20
Alexandre_Lacazette_22,0,18,0,0,0,5,0,2,14,5.3,1,0,22,0,0,323,1,1,0,3.8,18053,11.6,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,90,2,0,8,0,0,0,0,5,0,33,0,718143,1,0,0,0,1,21,2,184129,192097,7968,94,FALSE,0,0,Welbeck,1,1,19,146,3,56.8,73.6,66,3,63,19.5,0,0,0,0.4,64,Danny,Welbeck,21
Pierre-Emerick_Aubameyang_23,0,8,0,0,0,6,0,0,4,15,1,0,23,0,0,323,0,0,0,2,18054,5.4,1,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,45,0,1,8,0,0,0,0,1,0,33,0,1242672,0,0,0,0,1,0,1,132301,147658,15357,108,FALSE,0,0,Lacazette,13,11,155,2149,23,412.7,762.6,1067,20,525,223.9,6,0,2,11.3,94,Alexandre,Lacazette,22
Asmir_Begovic_24,0,28,0,0,0,3,0,1,19,0,0,0,24,2,0,321,0,3,0,0,18055,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,0,4,0,0,0,0,10,0,33,0,192499,0,0,0,3,1,0,1,7311,9201,1890,43,TRUE,0,0,Aubameyang,17,7,169,2272,34,409.3,792.2,1152,26,611,235.2,6,0,0,19.4,109,Pierre-Emerick,Aubameyang,23
Artur_Boruc_25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,321,0,0,0,0,18056,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,594693,0,0,0,3,1,0,0,-8172,5913,14085,41,TRUE,0,0,Begovic,0,0,63,2160,47,0,440.6,0,4,363,44.2,5,0,0,3,43,Asmir,Begovic,24
Simon_Francis_26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,321,0,0,0,0,18057,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,12811,0,0,0,3,1,0,0,-84,16,100,43,TRUE,0,0,Boruc,0,0,36,810,14,0,226.8,0,4,168,22.8,3,0,1,9.2,41,Artur,Boruc,25
Steve_Cook_27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,321,0,0,0,0,18058,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,256315,0,0,0,3,1,0,0,-7180,48,7228,43,TRUE,0,0,Francis,0,2,40,1227,24,173.3,332.4,39,0,244,54.4,4,0,1,0.2,43,Simon,Francis,26
Charlie_Daniels_28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,321,0,0,0,0,18059,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,271418,0,0,0,3,1,0,0,376,5433,5057,41,TRUE,0,0,Cook,1,1,70,2340,47,109.2,627,279,5,453,101.4,7,0,2,4.1,43,Steve,Cook,27
Adam_Smith_29,0,43,0,0,0,7,0,3,32,3.1,0,0,29,0,0,321,0,3,0,2.3,18060,15.6,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,0,4,0,0,0,0,7,0,33,0,28654,1,0,0,3,1,4,0,-751,115,866,43,TRUE,0,1,Daniels,1,0,44,1583,34,215.4,289.8,156,1,278,66.2,4,0,4,4.2,41,Charlie,Daniels,28
Tyrone_Mings_30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,321,0,0,0,0,18061,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,6445,0,0,0,3,1,0,0,-28,3,31,42,TRUE,0,0,Smith,1,0,54,1797,28,136.1,287.8,104,0,294,52.9,6,1,5,0.5,43,Adam,Smith,29
Nathan_Ak�_31,0,57,0,0,0,24,0,14,52,14.9,0,0,31,0,0,321,2,3,0,5.1,18062,36,1,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,1,4,0,0,0,0,9,0,33,0,407552,0,1,0,3,1,0,1,26186,32135,5949,51,TRUE,0,0,Mings,0,0,5,141,4,16.3,49,2,0,41,6.8,0,0,0,0.1,42,Tyrone,Mings,30
Jack_Simpson_32,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,321,0,0,0,0,18063,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,397030,0,0,0,3,1,0,0,-7154,1468,8622,39,TRUE,0,0,Aké,3,1,98,2961,61,57.3,872.4,337,6,609,126.7,8,0,2,6.3,51,Nathan,Aké,31
Marc_Pugh_34,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,321,0,0,0,0,18064,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,22271,0,0,0,3,1,0,0,-99,14,113,43,TRUE,0,0,Simpson,0,0,2,82,1,0,18.8,0,0,13,1.9,0,0,0,6.3,39,Jack,Simpson,32
Andrew_Surman_35,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,321,0,0,0,0,18065,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,9153,0,0,0,3,1,0,0,-299,15,314,46,TRUE,0,0,Arter,0,1,47,1919,38,176.5,230.6,143,0,217,55.1,7,0,9,0.2,49,Harry,Arter,33
Junior_Stanislas_36,0,17,0,0,0,3,0,0,12,1.3,0,0,36,0,0,321,0,0,0,1.1,18066,1.2,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,19,0,0,4,0,0,0,0,1,0,33,0,5387,0,0,0,3,1,8,1,250,305,55,60,TRUE,0,0,Pugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,43,Marc,Pugh,34
Dan_Gosling_37,0,25,0,0,0,2,0,1,19,0.9,0,0,37,0,0,321,1,3,0,0.6,18067,4.6,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,58,0,0,4,0,0,0,0,1,0,33,0,5949,0,0,0,3,1,0,1,71,152,81,47,TRUE,0,0,Surman,0,0,36,1438,37,163,190.8,38,0,206,39.2,4,0,2,0.1,46,Andrew,Surman,35
Jordon_Ibe_38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,321,0,0,0,0,18068,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,13573,0,0,0,3,1,0,0,5,114,109,50,TRUE,0,0,Stanislas,1,3,49,992,24,252.2,189,322,3,180,76.4,2,0,1,0.1,60,Junior,Stanislas,36
Lewis_Cook_39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,321,0,0,0,0,18069,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,7157,0,0,0,3,1,0,0,-15,9,24,46,TRUE,0,0,Gosling,0,2,40,1502,31,128,274,156,0,180,55.7,3,0,6,0.1,47,Dan,Gosling,37
Ryan_Fraser_40,0,22,1,0,0,17,0,2,17,37.9,1,0,40,0,0,321,0,3,0,6.3,18070,14.2,2,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,4,4,0,0,0,0,3,0,33,0,1542308,1,0,0,3,1,11,2,141929,160374,18445,62,TRUE,0,0,Ibe,0,1,23,644,19,151.8,76.2,118,0,75,34.5,0,0,1,0.2,50,Jordon,Ibe,38
Emerson_Hyndman_41,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,321,0,0,0,0,18071,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,2631,0,0,0,3,1,0,0,-3,1,4,45,TRUE,0,0,Cook,0,0,22,719,10,50.4,76,36,0,91,16.5,3,0,2,0.1,46,Lewis,Cook,39
David_Brooks_42,0,58,1,0,0,19,0,0,43,31.4,4,0,42,0,0,321,0,3,0,8.1,18072,18.2,2,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,2,4,0,0,0,0,3,0,33,0,353228,1,0,0,3,1,31,2,22187,32304,10117,51,TRUE,0,0,Fraser,6,10,147,2738,56,1086.4,750,536,18,620,237.6,7,0,2,23.6,63,Ryan,Fraser,40
Callum_Wilson_43,0,20,0,2,0,-3,0,1,13,6.7,0,0,43,0,0,321,1,3,0,3.7,18073,1.6,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,2,1,4,0,0,0,0,4,0,33,0,1142073,2,1,2,3,1,29,2,148046,163148,15102,65,TRUE,0,0,Hyndman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Emerson,Hyndman,41
Lys_Mousset_44,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,321,0,0,0,0,18074,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,16980,0,0,0,3,1,0,0,-300,287,587,49,TRUE,0,0,Brooks,6,4,104,1993,37,388.1,500.4,563,6,335,145.3,8,0,3,5.3,51,David,Brooks,42
Joshua_King_45,0,30,0,0,0,6,0,0,19,15,2,0,45,0,0,321,1,3,0,6.4,18075,4.6,1,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,0,4,0,0,0,0,5,0,33,0,506467,4,1,1,3,1,44,2,72597,84490,11893,65,TRUE,0,0,Wilson,11,9,131,2086,38,335.7,553.8,897,16,403,178.1,7,0,3,17.3,66,Callum,Wilson,43
Jermain_Defoe_46,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,321,0,0,0,0,18076,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,22353,0,0,0,3,1,0,0,-58,6,64,56,TRUE,0,0,Mousset,1,0,25,302,14,53.8,61.2,106,0,75,21.8,0,0,1,0.3,49,Lys,Mousset,44
Tom_Heaton_67,0,34,0,0,0,12,0,0,13,0,0,0,67,0,0,321,0,1,0,1.4,18077,14.4,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,0,2,0,0,0,0,6,0,33,2,37627,0,0,0,3,1,0,2,1137,1830,693,48,FALSE,0,0,King,11,3,127,2558,48,486.4,605.8,912,20,426,200,8,0,3,7.6,66,Joshua,King,45
Nick_Pope_68,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,321,0,0,0,0,18078,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,2,0,0,0,0,0,0,33,0,10626,0,0,0,3,1,0,0,7,47,40,48,FALSE,0,0,Defoe,0,0,4,22,2,0,3,23,0,12,2.6,0,0,0,0.4,56,Jermain,Defoe,46
Matthew_Lowton_69,0,24,0,0,0,11,0,3,17,0.7,1,0,69,0,0,321,0,1,0,1.5,18079,14.6,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,0,2,0,0,0,0,9,0,33,0,13756,0,0,0,3,1,0,2,-15,43,58,46,FALSE,0,0,Ryan,0,0,84,2430,41,0,537.6,0,9,425,53.9,5,0,2,4.2,44,Mathew,Ryan,47
Ben_Mee_70,0,29,0,0,0,4,0,5,24,0.5,0,0,70,0,0,321,1,1,0,2.6,18080,5.6,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,0,2,0,0,0,0,3,0,33,0,104489,0,1,3,3,1,20,1,668,1300,632,46,FALSE,0,1,Dunk,2,1,79,2521,42,109.4,654.2,178,6,473,94.6,6,1,4,3.2,44,Lewis,Dunk,48
Stephen_Ward_71,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,321,0,0,0,0,18081,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,2,0,0,0,0,0,0,33,0,30624,0,0,0,3,1,0,0,-17,84,101,47,FALSE,0,0,Duffy,5,2,102,2457,41,61.8,833.6,424,9,484,132.1,6,1,4,7.8,47,Shane,Duffy,49
James_Tarkowski_72,0,28,0,0,0,8,0,5,18,0.3,0,0,72,0,0,321,1,1,0,1.6,18082,13.6,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,0,2,0,0,0,0,2,0,33,0,279158,1,1,0,3,1,2,2,7573,9320,1747,47,FALSE,0,0,Saltor Grau,0,1,32,709,9,66.1,114.8,14,4,149,19.5,3,0,2,0.3,44,Bruno,Saltor Grau,50
Kevin_Long_73,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,321,0,0,0,0,18083,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,2,0,0,0,0,0,0,33,0,19715,0,0,0,3,1,0,0,-71,135,206,41,FALSE,0,0,Bong,0,0,42,1715,34,151.7,211.4,8,0,235,37,4,0,0,0.1,44,Gaëtan,Bong,51
Charlie_Taylor_74,0,16,0,0,0,9,0,2,11,8.9,0,0,74,0,0,321,0,1,0,1.8,18084,9,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,2,2,0,0,0,0,2,0,33,0,27457,0,0,0,3,1,0,2,1560,2036,476,44,FALSE,0,0,Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,38,Markus,Suttner,52
Phil_Bardsley_75,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,321,0,0,0,0,18085,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,2,0,0,0,0,0,0,33,0,13385,0,0,0,3,1,0,0,877,1125,248,42,FALSE,0,0,Schelotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,38,Ezequiel,Schelotto,53
Johann Berg_Gudmundsson_76,0,2,0,0,0,3,0,0,1,0.1,0,0,76,0,0,321,0,0,0,0.2,18086,2,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,8,0,0,2,0,0,0,0,0,0,33,0,69628,0,0,0,3,1,0,1,473,1328,855,55,FALSE,0,0,Balogun,1,0,15,591,10,1.1,134,27,0,86,16.2,0,0,2,0.1,42,Leon,Balogun,54
Steven_Defour_77,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,321,0,0,0,0,18087,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,2,0,0,0,0,0,0,33,0,1437,0,0,0,3,1,0,0,27,43,16,53,FALSE,0,0,Knockaert,2,6,71,1602,32,528.2,363.8,314,2,273,120.7,3,0,4,0.8,52,Anthony,Knockaert,55
Jeff_Hendrick_78,0,19,0,0,0,1,0,0,11,11.3,0,0,78,0,0,321,4,1,0,1.5,18088,0,1,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,81,0,0,2,0,0,0,0,5,0,33,0,9822,0,0,0,3,1,4,1,28,128,100,52,FALSE,0,1,Stephens,1,1,53,1944,36,193.3,377.6,66,4,318,63.6,4,1,5,3.2,43,Dale,Stephens,56
Robbie_Brady_79,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,321,0,0,0,0,18089,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,2,0,0,0,0,0,0,33,0,1283,0,0,0,3,1,0,0,2,32,30,54,FALSE,0,0,Kayal,1,1,28,712,11,53.7,189.4,49,0,117,29.3,3,0,4,0.3,44,Beram,Kayal,57
Ashley_Westwood_80,1,38,1,0,3,47,0,3,29,30.3,1,0,80,0,0,321,2,1,1,12.3,18090,63.4,2,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,0,2,0,0,0,0,11,0,33,0,195899,1,1,0,3,1,29,13,2517,7564,5047,46,FALSE,1,0,March,1,5,82,2127,36,600.8,411,290,5,303,130.3,5,0,1,0.7,48,Solomon,March,58
Jonathan_Walters_81,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,321,0,0,0,0,18091,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,2,0,0,0,0,0,0,33,0,1736,0,0,0,3,1,0,0,94,121,27,47,FALSE,0,0,Groß,2,2,58,1361,22,645.5,327,290,9,263,126.4,2,0,0,1.4,67,Pascal,Groß,59
Jack_Cork_82,0,30,0,0,0,12,0,3,25,1.8,1,0,82,0,0,321,1,1,0,0.7,18092,5.4,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,0,0,2,0,0,0,0,7,0,33,0,34539,1,0,0,3,1,0,2,-190,442,632,46,FALSE,0,0,Pröpper,1,1,67,2385,41,241.7,374,121,3,329,73.9,4,0,2,0.2,48,Davy,Pröpper,60
Aaron_Lennon_83,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,321,0,0,0,0,18093,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,2,0,0,0,0,0,0,33,0,19248,0,0,0,3,1,0,0,-47,58,105,49,FALSE,0,0,Izquierdo Mena,0,2,24,586,6,62.4,59.4,142,0,73,26.4,2,0,1,0.1,59,José Heriberto,Izquierdo Mena,61
Sam_Vokes_84,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,321,0,0,0,0,18094,0,0,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,0,0,0,2,0,0,0,0,0,0,33,0,38987,0,0,0,3,1,0,0,-371,8,379,53,FALSE,0,0,Murray,11,0,103,2029,34,144.1,400.8,704,13,271,123.1,3,0,5,3,63,Glenn,Murray,62
Ashley_Barnes_85,0,22,0,0,0,17,0,3,15,12.8,0,0,85,0,0,321,5,1,1,8.2,18095,32.4,1,2019-04-06T14:00:00Z,4/6/2019 15:00,0,0,90,1,0,2,1,0,0,0,4,0,33,0,190128,1,0,0,3,1,37,3,-2131,8952,11083,57,FALSE,0,1,Hemed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,Tomer,Hemed,63
